Model,Task,Accuracy,Macro F1,Top-3 Accuracy
Majority Baseline,gender,0.49916805324459235,0.13318534961154274,0.9698986537588867
Majority Baseline,masterCategory,0.4844955377401301,0.10879016371170437,0.9485705642111633
Majority Baseline,subCategory,0.34911511117833915,0.012938670254512837,0.5843291483890486
Majority Baseline,articleType,0.16033882922402057,0.0021761065553157046,0.2978369384359401
Majority Baseline,baseColour,0.2187263651489941,0.008157784873684092,0.45620934805626984
Majority Baseline,season,0.48903342913326275,0.16421170255993497,0.9399485705642112
Majority Baseline,usage,0.7830887914082589,0.12547869504096174,0.9443351989109061
Frozen CLIP + Heads (V1),gender,0.8886703978218121,0.7766001480008942,0.9956133716533051
Frozen CLIP + Heads (V1),masterCategory,0.9933444259567388,0.8629937982338353,0.999394947814249
Frozen CLIP + Heads (V1),subCategory,0.9429738314929663,0.7108939726417577,0.9947057933746786
Frozen CLIP + Heads (V1),articleType,0.8410225381939193,0.6639695724602702,0.9711087581303888
Frozen CLIP + Heads (V1),baseColour,0.6011193465436394,0.3409578550909414,0.8538798971411284
Frozen CLIP + Heads (V1),season,0.7070034790500681,0.7280134716349071,0.9848736953562245
Frozen CLIP + Heads (V1),usage,0.8603842081379519,0.5144845481783126,0.9981848434427469
AutoCatalogAI V2,gender,0.9192255332022387,0.8120023642434658,0.9974285282105582
AutoCatalogAI V2,masterCategory,0.9944032672818031,0.8464411154349717,0.999394947814249
AutoCatalogAI V2,subCategory,0.963545605808501,0.7593135523586715,0.9972772651641204
AutoCatalogAI V2,articleType,0.876418091060354,0.6636649938278787,0.9815459083345939
AutoCatalogAI V2,baseColour,0.697171381031614,0.3649654467037918,0.9069732264407805
AutoCatalogAI V2,season,0.7548026017243987,0.767844259585529,0.9897141128422327
AutoCatalogAI V2,usage,0.9178641657842989,0.5042497472267755,0.9981848434427469
